candidate_id,donation,state
0,1000.00,CA
0,1000.00,CA
0,1000.00,CA
0,1000.00,CA
0,5000.00,CA
0,5000.00,CA
0,2254.00,CA
0,5000.00,CA
0,2000.00,CA
0,1000.00,CA
0,3000.00,CA
0,2000.00,CA
0,1000.00,CA
0,5000.00,CA
0,500.00,CA
0,5000.00,CA
0,5000.00,CA
0,2500.00,CA
0,5000.00,CA
0,500.00,CA
0,5000.00,CA
0,1000.00,CA
0,5000.00,CA
0,5000.00,CA
0,5000.00,CA
0,1500.00,CA
0,2500.00,CA
0,5000.00,CA
0,5000.00,CA
0,1000.00,CA
0,5000.00,CA
0,1000.00,CA
0,5000.00,CA
0,350.00,CA
0,5000.00,CA
0,1000.00,CA
0,1000.00,CA
0,1000.00,CA
0,2000.00,CA
0,2500.00,CA
0,19.00,CA
0,153.00,CA
0,5000.00,CA
0,473.00,CA
0,12.00,CA
0,200.00,CA
0,2500.00,CA
0,5000.00,CA
0,1500.00,CA
0,1000.00,CA
0,1000.00,CA
0,2500.00,CA
0,3000.00,CA
0,2000.00,CA
0,1000.00,CA
0,500.00,CA
0,1000.00,CA
0,600.00,CA
0,66.00,CA
0,1000.00,CA
0,-4000.00,CA
0,5000.00,CA
0,1000.00,CA
0,1500.00,CA
0,4000.00,CA
0,1000.00,CA
0,2500.00,CA
0,1500.00,CA
0,500.00,CA
0,2000.00,CA
0,3000.00,CA
0,5000.00,CA
0,1000.00,CA
0,2500.00,CA
0,2500.00,CA
0,1000.00,CA
0,18.00,CA
0,2500.00,CA
0,2500.00,CA
0,150.00,CA
0,240.00,CA
0,1000.00,CA
0,2000.00,CA
0,1000.00,CA
0,5000.00,CA
0,1000.00,CA
0,2500.00,CA
0,15.00,CA
0,3500.00,CA
0,241.00,CA
0,848.00,CA
0,1000.00,CA
0,5000.00,CA
0,2000.00,CA
0,5000.00,CA
0,5000.00,CA
0,5000.00,CA
0,611.00,CA
0,2400.00,CA
0,1000.00,CA
0,5000.00,CA
0,36.00,CA
0,50.00,CA
0,2.00,CA
0,2.00,CA
0,2.00,CA
0,1000.00,CA
0,5000.00,CA
0,5000.00,CA
0,2000.00,CA
0,1500.00,CA
0,2500.00,CA
0,5000.00,CA
0,5000.00,CA
0,2500.00,CA
0,5000.00,CA
0,1000.00,CA
0,5.00,CA
0,81.00,CA
0,16.00,CA
0,5000.00,CA
0,1000.00,CA
0,5000.00,CA
0,1000.00,CA
0,5000.00,CA
0,5000.00,CA
0,1500.00,CA
0,2500.00,CA
0,2000.00,CA
0,1000.00,CA
0,1000.00,CA
0,5000.00,CA
0,60.00,CA
0,5000.00,CA
0,1000.00,CA
0,4000.00,CA
0,2500.00,CA
0,300.00,CA
0,2500.00,CA
0,66.00,CA
0,1000.00,CA
0,2500.00,CA
0,5000.00,CA
0,500.00,CA
0,2000.00,CA
0,5000.00,CA
0,20.00,CA
0,1000.00,CA
0,1000.00,CA
0,343.00,CA
0,16.00,CA
0,2500.00,CA
0,21.00,CA
0,5000.00,CA
0,3.00,CA
0,2000.00,CA
0,5000.00,CA
0,1000.00,CA
0,78.00,CA
0,1000.00,CA
0,4000.00,CA
0,1000.00,CA
0,1000.00,CA
0,2000.00,CA
0,1000.00,CA
0,2500.00,CA
0,1000.00,CA
0,81.00,CA
0,2000.00,CA
0,500.00,CA
0,1000.00,CA
0,1000.00,CA
0,2000.00,CA
0,100.00,CA
0,1000.00,CA
0,1000.00,CA
0,1272.00,CA
0,1000.00,CA
0,5000.00,CA
0,50.00,CA
0,2500.00,CA
0,1000.00,CA
0,1000.00,CA
0,2500.00,CA
0,2500.00,CA
0,2500.00,CA
0,150.00,CA
0,2500.00,CA
0,1000.00,CA
0,2000.00,CA
0,5000.00,CA
0,1000.00,CA
0,1000.00,CA
0,5000.00,CA
0,5000.00,CA
0,8.00,CA
0,5000.00,CA
0,2196.00,CA
0,5000.00,CA
0,1000.00,CA
0,1000.00,CA
1,5000.00,IL
1,2000.00,IL
1,1000.00,IL
1,5000.00,IL
1,-1000.00,IL
2,5000.00,AL
3,-500.00,NJ
3,5000.00,NJ
3,5000.00,NJ
3,1000.00,NJ
3,1000.00,NJ
3,1000.00,NJ
3,500.00,NJ
3,1000.00,NJ
4,1000.00,AR
4,5000.00,AR
4,5000.00,AR
4,2000.00,AR
4,5000.00,AR
4,2000.00,AR
4,-500.00,AR
4,500.00,AR
4,352.00,AR
4,2500.00,AR
4,5000.00,AR
4,500.00,AR
4,5000.00,AR
4,1480.00,AR
4,1000.00,AR
4,-5000.00,AR
4,5000.00,AR
4,2000.00,AR
4,1000.00,AR
4,500.00,AR
4,2500.00,AR
4,500.00,AR
4,2500.00,AR
4,500.00,AR
4,797.00,AR
4,1000.00,AR
4,500.00,AR
4,1000.00,AR
4,5000.00,AR
4,5000.00,AR
4,500.00,AR
4,2000.00,AR
4,2500.00,AR
5,5000.00,IL
5,-2000.00,IL
6,1000.00,CA
6,2500.00,CA
6,5000.00,CA
6,2500.00,CA
6,1000.00,CA
6,525.00,CA
6,500.00,CA
6,6.00,CA
6,5000.00,CA
6,1000.00,CA
6,13.00,CA
6,1000.00,CA
6,5000.00,CA
6,500.00,CA
6,400.00,CA
6,2500.00,CA
6,500.00,CA
6,250.00,CA
6,2500.00,CA
6,500.00,CA
7,1000.00,NM
7,2000.00,NM
8,5000.00,SC
8,2500.00,SC
8,2500.00,SC
8,1500.00,SC
8,5000.00,SC
8,3000.00,SC
8,1000.00,SC
8,2500.00,SC
8,5000.00,SC
8,2500.00,SC
8,1500.00,SC
8,2500.00,SC
8,1500.00,SC
8,2500.00,SC
8,1000.00,SC
8,2000.00,SC
8,3000.00,SC
8,234.00,SC
8,110.00,SC
8,2500.00,SC
8,2500.00,SC
8,2500.00,SC
8,1000.00,SC
8,5000.00,SC
8,2500.00,SC
8,5000.00,SC
8,5000.00,SC
8,1000.00,SC
8,2500.00,SC
8,1000.00,SC
8,1500.00,SC
8,1000.00,SC
8,5000.00,SC
8,2500.00,SC
8,1000.00,SC
8,2500.00,SC
8,5000.00,SC
8,3000.00,SC
8,2000.00,SC
8,2500.00,SC
8,-5000.00,SC
8,2500.00,SC
8,2500.00,SC
8,5000.00,SC
8,1390.00,SC
8,2500.00,SC
8,2500.00,SC
8,2500.00,SC
8,5000.00,SC
8,2500.00,SC
8,1500.00,SC
8,1000.00,SC
8,1000.00,SC
8,2500.00,SC
8,2000.00,SC
8,5000.00,SC
8,500.00,SC
8,2500.00,SC
8,1000.00,SC
8,2000.00,SC
8,1000.00,SC
8,5000.00,SC
8,1000.00,SC
8,2500.00,SC
8,5000.00,SC
8,2500.00,SC
8,2500.00,SC
8,2500.00,SC
