Record Number,Amount Requested,Interest Rate Percentage,Loan Length in Months,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio Percentage,FICO Range,Status
0,18000,10.99,60,Debt,debt_consolidation,391.28,18000,9.33,720-724,1
1,8000,15.31,36,You cant lose,debt_consolidation,278.53,8000,8.2,660-664,1
2,1700,9.99,36,Payoff Debt,debt_consolidation,54.85,1700,4,695-699,1
3,12000,15.23,60,Debt Refi & Consolidation,credit_card,286.93,12000,19.24,700-704,0
4,5000,14.74,36,Loan for Service as a Software startup,small_business,172.69,5000,6.79,690-694,1
5,8000,11.99,36,consolidate,debt_consolidation,265.68,8000,4.49,705-709,1
6,18000,6.54,36,Ada,credit_card,343.48,11200,16.04,735-739,0
7,4800,8.59,36,Driveway,other,151.73,4800,4.41,765-769,1
8,5500,7.14,36,Fjones loan,debt_consolidation,170.17,5500,21.08,745-749,1
9,10800,15.99,36,Sams Credit Card Payoff Loan,debt_consolidation,379.65,10800,17.42,680-684,0
10,6000,7.68,36,Computor Loan,other,187.14,6000,0.83,790-794,1
11,3200,17.19,60,RELIEF LOAN,other,79.86,3200,12.16,705-709,0
12,10000,9.32,36,Refinancing and Fuller Seminary expenses,credit_card,319.47,10000,8.36,800-804,1
13,5000,5.79,36,Stingray,major_purchase,151.64,5000,1.34,770-774,1
14,20000,9.25,36,Credit Card  Refinance,credit_card,638.33,20000,13.86,735-739,1
15,20000,11.34,36,Expanding my growing Business,other,658,20000,5.19,710-714,0
16,12000,14.65,36,Debt Consolidation,debt_consolidation,413.94,12000,6.45,675-679,1
17,11700,11.11,60,New Project,home_improvement,255.03,11700,10.55,755-759,0
18,3000,10.37,36,Saleen,car,97.33,3000,21.71,690-694,1
19,3000,5.99,36,Daughter's 1st Vehicle,car,91.26,3000,14.62,795-799,1
20,6000,13.67,60,my loan,debt_consolidation,138.59,6000,14.4,720-724,0
21,5650,13.47,36,Bill Consolidation,debt_consolidation,191.67,5650,6.18,670-674,1
22,18000,18.3,36,douglas,debt_consolidation,653.47,18000,15.73,685-689,0
23,8500,15.58,36,big purchase,major_purchase,297.08,8500,15.85,670-674,1
24,14100,14.26,36,Alibi Inn,credit_card,483.72,14100,20.91,720-724,0
25,22000,12.12,60,home improvement,home_improvement,490.72,22000,5.44,790-794,1
26,4800,12.21,36,Unplanned Vet Expenses,medical,159.92,4800,3.99,700-704,1
27,10000,13.85,36,I need to buy computer system for my son.,major_purchase,341.04,10000,1.8,720-724,0
28,13000,9.62,60,CONS,debt_consolidation,273.79,13000,13.67,750-754,1
29,20400,13.99,60,Debt Consolidation & Payoff,debt_consolidation,474.57,20400,15.36,735-739,1
30,8500,13.47,36,Credit Card Refi,credit_card,288.35,8500,14.86,690-694,1
31,3000,11.83,36,Looking forward to April!,other,99.41,3000,11.12,725-729,0
32,5000,16.69,60,Thanks,major_purchase,123.44,5000,15.63,695-699,1
33,24250,13.92,36,Outstanding Credit,home_improvement,827.82,24250,2.06,755-759,0
34,24000,10.83,36,HEALTH CARE INDUSTRY ,small_business,458.85,14050,6.24,745-749,0
35,5750,19.29,60,Debt Consolidation,debt_consolidation,150.08,5750,23.17,670-674,0
36,10300,15.99,36,Pay off Chase Credit Card,debt_consolidation,362.07,10300,15.67,670-674,1
37,20000,11.89,36,Debt Consolidation,debt_consolidation,663.28,20000,7.32,730-734,1
38,2400,11.49,36,Lending Tree Loan,debt_consolidation,79.14,2400,6.49,690-694,0
39,16750,11.86,60,dept consolidation,debt_consolidation,371.42,16750,13.74,740-744,0
40,15000,7.29,36,Student loan/credit card consolidation,debt_consolidation,465.15,15000,8.61,780-784,1
41,4000,21.22,60,Viking Entertainment,small_business,108.71,4000,2,660-664,0
42,1100,6.62,36,medical,medical,33.78,1100,12.47,765-769,1
43,12000,13.55,36,Pay off Chase cards,credit_card,203.76,6000,12.8,670-674,1
44,5000,7.68,36,Vegas cash,other,155.95,5000,11.97,775-779,1
45,10000,7.14,36,Consolidation,small_business,309.42,10000,8.04,770-774,0
46,10000,13.49,60,Lending Tree Personal Loan - New Street,other,230.05,10000,8.46,765-769,1
47,4800,11.89,36,Personal,debt_consolidation,159.19,4800,18.65,705-709,1
48,2000,7.29,36,necessity,home_improvement,62.02,2000,29.62,730-734,0
49,8000,7.37,36,Used Auto Loan,car,248.37,8000,2.77,725-729,0
50,10000,13.61,60,Home Loan ,home_improvement,230.67,10000,16.39,710-714,1
51,4750,13.61,36,Debt Consolidation,debt_consolidation,161.45,4750,3.63,705-709,1
52,11500,7.88,36,Personal,other,359.73,11500,3.13,755-759,1
53,12000,15.27,60,consolidation,debt_consolidation,287.19,12000,16.51,700-704,1
54,8000,17.99,36,wedding loan,wedding,289.18,8000,7.28,670-674,1
55,12000,11.14,36,Low-risk Bridge Loan,debt_consolidation,393.65,12000,2.85,755-759,1
56,25000,15.58,36,Wedding,wedding,873.76,25000,8.7,695-699,1
57,6000,11.11,36,Debt Consolidation/Wedding,wedding,196.75,6000,12.17,685-689,1
58,18000,12.84,36,trizz,wedding,605.13,18000,7.29,745-749,1
59,35000,16.77,60,rehab/flip 43rd,small_business,865.52,35000,1.14,750-754,0
60,3200,13.16,36,Please help with consolidating my debt.,debt_consolidation,108.07,3200,11,670-674,0
61,5200,11.49,36,Honda Motorcycle,car,171.46,5200,18.43,695-699,1
62,20000,16.7,36,Remodelling and Consolidation Loan,home_improvement,710.03,20000,24.6,675-679,0
63,8400,6.92,36,My Rent Loan,renewable_energy,259.07,8400,13.3,745-749,0
64,12500,11.83,36,hobby shop,home_improvement,414.18,12500,1.07,735-739,1
65,2000,10.99,36,Car Loan,other,65.47,2000,23.55,680-684,1
66,31000,13.06,60,House Loan,house,706.3,31000,12.9,785-789,0
67,4500,10.99,36,Reliable Borrower Just wants to lower Interest,other,147.31,4500,14.34,705-709,0
68,4500,14.84,36,Consolidation,debt_consolidation,155.65,4500,13.63,675-679,1
69,10000,9.63,36,Debt Consoliation loan,debt_consolidation,320.95,10000,9.44,745-749,0
70,12000,13.99,36,debt consolidation,debt_consolidation,410.08,12000,4.24,685-689,1
71,8000,7.29,36,Furniture,major_purchase,248.08,8000,10.81,760-764,0
72,5000,9.25,36,personal loan,medical,159.59,5000,1.88,735-739,0
73,6000,13.49,36,Debt loan,debt_consolidation,203.59,6000,17.81,670-674,0
74,24000,7.88,60,Baby Room,home_improvement,297.73,14725,10.44,770-774,1
75,20000,20.3,60,Need a better rate than my credit card,credit_card,533.23,20000,20.2,680-684,0
76,7000,6.76,36,Trim and Gutter loan,home_improvement,215.38,7000,11.66,790-794,1
77,11000,14.27,36,Debt Consolidation and Elimination Loan,debt_consolidation,377.4,11000,17.99,680-684,1
78,13725,16.02,60,Debt Consolidation - Wedding Expenses,debt_consolidation,333.92,13725,9.24,715-719,0
79,5000,7.4,36,2009 Loan consolidation,debt_consolidation,155.3,5000,7.92,820-824,1
80,8000,6.99,36,Major Purchase,other,246.99,8000,13.63,760-764,1
81,15000,12.12,36,Debt Consolidation,debt_consolidation,499.08,15000,16.78,720-724,0
82,33000,7.62,36,Debt Consolidation,debt_consolidation,1028.33,33000,0.26,805-809,1
83,16000,17.19,60,Miracle Loan,debt_consolidation,286.99,11500,4.38,670-674,0
84,22750,18.91,60,Debt consolidation,debt_consolidation,589.03,22750,23.59,675-679,0
85,14400,10.75,60,Other loan,other,243.21,11250,18.06,760-764,0
86,4800,8,36,Patio,home_improvement,150.42,4800,1.2,785-789,1
87,18000,18.64,60,Debt Consolidation,debt_consolidation,463.38,18000,12.12,675-679,0
88,7000,7.14,36,PaymentOnTime,other,216.58,7000,12.52,775-779,1
89,15000,15.65,36,Debt Consadilation,debt_consolidation,524.8,15000,3.41,685-689,0
90,5000,6,36,Taking Care of Business,wedding,152.11,5000,4.37,665-669,1
91,20000,13.57,36,Racing airplane,major_purchase,679.37,20000,11.91,720-724,1
92,11200,7.88,36,credit card consolidation,credit_card,350.35,11200,13.7,760-764,1
93,21600,13.92,36,Financial Peace,debt_consolidation,737.36,21600,11.23,690-694,1
94,18000,13.43,60,pool,home_improvement,413.53,18000,12,745-749,0
95,2500,12.12,36,FREEDOM,other,83.18,2500,32.06,675-679,1
96,5000,7.4,36,December 2009 Plan,debt_consolidation,155.3,5000,13.58,775-779,1
97,8000,14.61,36,Consolidation,debt_consolidation,275.81,8000,13.36,675-679,0
98,10400,15.62,36,Credit card consolidation loan,credit_card,363.69,10400,13.56,670-674,1
99,10000,12.18,36,Big Money,major_purchase,333,10000,5.36,710-714,1
100,5000,14.79,60,Motorcycle Purchase,major_purchase,118.4,5000,10.55,705-709,1
101,6000,6.17,36,Concolidation,other,183,6000,11.19,760-764,1
102,3250,11.86,36,payoff,debt_consolidation,107.73,3250,18.48,690-694,1
103,20700,21.74,60,Debt Consolidation Loan,debt_consolidation,568.66,20700,14.77,665-669,0
104,7750,14.35,36,JP's loan,credit_card,266.2,7750,19.65,700-704,1
105,4850,9.99,60,Debt Consolidation Loan,debt_consolidation,103.03,4850,18.17,740-744,0
106,1400,16.29,36,Debt Consolidation,debt_consolidation,49.43,1400,11.72,665-669,0
107,24000,20.9,60,recover,debt_consolidation,647.94,24000,19.51,680-684,0
108,9800,13.22,36,Consolidate,major_purchase,331.25,9800,5.88,685-689,1
109,35000,21.36,60,credit card consolidation,debt_consolidation,953.97,35000,12.56,665-669,0
110,3000,11.28,36,Personal,credit_card,73.14,2225,12.45,715-719,0
111,3400,12.21,36,Removing Tax Lien on Financial Account,other,113.28,3400,22.56,700-704,0
112,15000,17.19,60,pay off credit cards,debt_consolidation,374.33,15000,17.55,675-679,0
113,6000,16.02,60,personal loan,debt_consolidation,145.98,6000,2.15,675-679,0
114,25000,18.64,60,MYcreditcards,debt_consolidation,643.58,25000,17.5,720-724,1
